CODE, COUNTRIES, Investors
ESP, Spain, 76
USA, United States, 120
GBR, United Kingdom, 57
FRA, France, 67
NOR, Norway, 4
GER, Germany, 59
NLD, Netherlands, 8
CAN, Canada, 21
CHE, Switzerland, 43
IRE, Ireland, 6
BEL, Italy, 22
BEL, Belgium, 8
LUX, Luxembourg, 23
FIN, Finland, 4
SWE, Sweden, 15
SGP, Singapore, 2
DNK, Denmark, 7
MEX, Mexico, 3
AUS, Australia, 7
AUT, Austria, 15
JPN, Japan, 10
PRT, Portugal, 7
GGY, Guernsey, 1
LIE, Liechtenstein, 5
ZAF, South Africa, 2
HKG, Hong Kong, 6
TWN, Taiwan, 8
KOR, South Korea, 4
GRC, Greece, 2
IND, India, 1
UKR, Ukraine, 1
POL, Poland, 2
CZE, Czech Republic, 1
CHL, Chile, 1
AND, Andorra, 1
BRA, Brazil, 1
